User,Tweet,Date,Source,Profile Photo
Esterbfr,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Wed Jan 19 20:14:00 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1482173141518622725/tii8JlAh_normal.jpg
livxtha,"RT @choquei: Tiago Abravanel acha que Jade Picon, Linn da Quebrada e Arthur Aguiar vai entrar. rs #BBB22",Wed Jan 19 20:13:59 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483129248185520132/_eRivqMz_normal.jpg
isrodry,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Wed Jan 19 20:13:53 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1480012344273129474/2DEKnUZW_normal.jpg
rafavnl,"RT @tracklist: Tiago Abravanel falou para os brothers que acha que as pessoas que faltam entrar no #BBB22 são Jade Picon, Linn da Quebrada…",Wed Jan 19 20:13:52 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1481747044645625867/Zamwigl-_normal.jpg
Wesgv1,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Wed Jan 19 20:13:39 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1386828218594963457/enNZTdab_normal.jpg
n_aguentomaiis,"E o Arthur Aguiar que vai entrar achando que vai fazer o ""injustiçado pelo Brasil"" sendo um boy legal, mas não cont… https://t.co/2UigIRpHIQ",Wed Jan 19 20:13:35 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/614630621290303488/jdteyOHa_normal.jpg
onedud4,"RT @tracklist: Tiago Abravanel falou para os brothers que acha que as pessoas que faltam entrar no #BBB22 são Jade Picon, Linn da Quebrada…",Wed Jan 19 20:13:23 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1474901930728206338/HsdlJ00G_normal.jpg
lgmenezzes,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Wed Jan 19 20:13:21 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1435277684926566403/Xda-V4Ex_normal.jpg
biaabat,"RT @tracklist: Tiago Abravanel falou para os brothers que acha que as pessoas que faltam entrar no #BBB22 são Jade Picon, Linn da Quebrada…",Wed Jan 19 20:13:09 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1473329989294641152/PvjvJN3g_normal.jpg
annesverse,"RT @tracklist: Tiago Abravanel falou para os brothers que acha que as pessoas que faltam entrar no #BBB22 são Jade Picon, Linn da Quebrada…",Wed Jan 19 20:13:04 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1459536743082901510/qQCEzMpN_normal.jpg
